dim1,dim2
4.077023,-19.896317
5.9875517,1.437268
0.50692207,-20.900204
1.4689274,-21.371223
4.439309,1.4598956
6.018474,-0.22469917
2.7764494,21.649788
5.001079,-6.280942
11.701366,9.571145
5.8272467,-0.98707205
0.62715375,-18.83818
4.6743784,-19.23586
3.0275354,-23.326567
4.6136947,-6.669569
4.7863255,-6.6952615
6.9819107,1.2861121
9.487796,-2.0751815
3.620379,-18.87845
3.057586,-23.42599
6.818207,-0.3318215
0.6921612,-19.284443
4.8091354,1.8130938
5.207721,-2.1496887
7.516489,-4.177008
8.759838,0.56957054
6.0889544,-3.3851168
11.217401,9.9800005
5.0444636,-6.3551264
8.999668,-2.0517504
-0.29485536,-18.506445
11.306777,9.725218
0.9446909,-22.480331
11.462637,10.063526
8.356536,-3.4989204
6.4343805,1.4590133
10.808146,-2.4073083
5.134201,-1.6158432
6.2542253,-19.991783
6.5118246,-2.8300862
3.2205913,-20.890194
5.6263914,-22.639683
2.6511374,-18.778322
4.7987237,-21.717424
2.5747046,-21.21192
2.6731434,-22.756207
6.6407394,-3.0926542
11.959261,12.24175
2.1841283,-19.590319
5.492955,-22.201649
11.672894,10.254107
4.58222,-6.546386
10.224415,0.0788161
1.0453651,-20.80401
10.911384,-0.684637
5.016717,-22.110819
2.4724166,20.765814
9.340732,-1.9145912
10.839138,-12.923687
4.3651333,1.5946249
8.925726,-1.9965807
2.0999067,-20.586325
6.0318456,-20.054007
1.63471,-19.188408
8.688362,-0.15312596
5.0957527,-22.973455
0.5535595,-20.99948
9.104757,-2.7596447
5.4921274,-3.1231818
5.31611,-0.63728505
4.803432,-19.351439
8.653939,-4.741067
5.9145017,-2.5563629
4.7377467,-19.555513
6.189906,-3.592243
10.401293,11.119925
-0.06250211,-20.875437
11.590873,9.898391
8.438709,-0.9783096
12.375303,10.928728
9.428161,-3.8937395
12.883762,11.23891
5.5975294,1.9425507
3.0282633,-23.02522
7.0917234,-2.232899
11.075405,-1.9979666
3.2153966,-22.62941
7.6864038,-2.2054307
10.52158,10.99445
2.470792,-19.351189
6.1881423,-1.1614305
9.94174,-2.387184
8.519003,-3.309619
9.710599,0.96855086
9.655719,0.81598735
9.498283,0.5412312
8.047749,1.276423
4.6909165,-6.820325
11.092818,-13.49112
14.771846,9.143271
5.0629706,1.6480993
8.607234,0.30997634
1.2104957,-18.325872
1.4862397,-18.327219
7.168839,-2.511911
10.608983,-0.3130909
11.691684,13.299841
0.9735497,-19.02746
12.201346,10.655981
10.767796,0.010037765
11.200811,-13.32647
8.735676,-4.0832853
3.8459077,-22.953676
5.1580048,-1.578913
1.4213,-19.075005
1.8997592,21.03648
5.3358555,2.068301
0.36813772,-21.028168
6.511254,-1.981489
1.3879584,-22.56665
10.775722,10.634968
0.8038976,-19.364056
1.4432677,-20.15164
9.308536,-4.1094007
2.1910224,-21.72955
2.821984,-23.125278
7.933453,-1.9850128
6.8581057,-2.0379953
2.6580207,-20.489607
5.216268,1.1587384
4.525371,-23.409653
8.115411,-3.0875125
6.444492,-1.3675117
9.17079,-3.2572196
13.119857,10.872074
-0.108225666,-21.330486
0.46744025,-19.905003
4.736012,1.9934348
9.9372225,-0.66477364
2.7656276,21.45339
0.64529425,-19.81836
4.5981636,2.3449016
1.2028308,-22.579826
2.1419556,21.364214
6.7345014,-2.0868537
0.6052811,-20.130142
7.519286,-1.1243051
5.8242416,-2.2202404
5.347004,-21.931934
6.185908,-1.2240165
9.089928,-1.6790882
10.8291235,-2.1130867
5.9701533,-2.946518
7.711347,-1.6864098
4.359012,-22.260672
5.3353014,-0.9137861
3.2432253,-21.268705
1.7632024,-21.200584
1.2759663,-19.62592
3.9547403,-23.198656
10.032287,-3.019663
8.655969,-3.034271
0.6085283,-18.137941
-0.6566437,-21.452057
8.754403,-4.04976
-0.15243356,-21.181528
1.035187,-22.125912
7.771054,-2.756132
9.72193,0.26834616
2.1236417,20.49159
3.5422995,-20.336004
4.709819,2.1529107
7.606,-4.246532
11.572801,9.522126
5.840872,-3.3856041
3.1787684,-19.940449
6.520724,1.7314761
4.378194,-20.453953
12.24863,10.272848
7.697717,-2.2029345
4.5302777,2.457468
2.033519,20.420267
9.115646,-1.1854482
9.015686,1.0523318
8.727856,-4.8512487
1.5714104,-20.726898
1.7950833,-21.643475
10.372535,-0.8678559
1.2729526,-19.388193
4.635914,-21.945297
3.9221325,-22.946913
3.783343,-22.150291
5.1776705,-18.69183
6.358577,-2.482353
3.405632,-22.489925
3.3753538,-20.57133
2.962109,-22.3124
2.9829245,-18.791245
10.704481,-13.214867
7.47485,-1.9039029
4.7154737,-22.873993
11.418173,9.602756
7.4730625,-2.3363976
12.858368,10.621986
0.43007937,-21.595446
9.373509,0.2608965
11.138371,12.060511
6.809343,-2.2700565
6.147263,1.3716011
3.6752722,-21.912113
8.542044,-4.456172
7.75793,-2.4196932
13.951575,9.736284
6.468247,-3.8222525
3.5681784,-19.330685
3.9647033,-21.71075
2.5824492,-19.23452
9.542105,0.80693746
7.155863,-0.9352009
1.8208827,21.364363
11.575894,13.227009
1.8486601,-18.92658
11.811212,11.727341
8.7387705,-3.813152
11.127882,-2.2434528
